Movie Trivia|In which year was the movie 'The Shawshank Redemption' released?|1994
Movie Trivia|Who directed the movie 'Pulp Fiction'?|Quentin Tarantino
Movie Trivia|Which actor played the character Tony Stark in the Marvel Cinematic Universe?|Robert Downey Jr.
Movie Trivia|What is the highest-grossing movie of all time?|Avengers: Endgame
Movie Trivia|Who won the Best Actor Oscar for his role in the movie 'The Revenant'?|Leonardo DiCaprio
Movie Trivia|Which movie features the character Hannibal Lecter?|The Silence of the Lambs
Movie Trivia|Which movie won the Best Picture Oscar in 2020?|Parasite
Movie Trivia|Who played the character Hermione Granger in the Harry Potter film series?|Emma Watson
Movie Trivia|Which director is known for movies like 'Fight Club' and 'Gone Girl'?|David Fincher
Movie Trivia|What is the name of the fictional city where Batman operates?|Gotham City
Movie Trivia|Which movie features the line 'Here's looking at you, kid'?|Casablanca
Movie Trivia|Who directed the movie 'The Godfather'?|Francis Ford Coppola
Movie Trivia|Which actress played Katniss Everdeen in 'The Hunger Games' film series?|Jennifer Lawrence
Movie Trivia|Which movie is based on the novel by Stephen King and features a haunted hotel?|The Shining
Movie Trivia|Who played the character Jack Sparrow in the 'Pirates of the Caribbean' series?|Johnny Depp
Movie Trivia|Which movie features the song 'Let It Go'?|Frozen
Movie Trivia|Who won the Best Actress Oscar for her role in the movie 'La La Land'?|Emma Stone
Movie Trivia|Which movie franchise features characters like Luke Skywalker and Darth Vader?|Star Wars
Movie Trivia|Who directed the movie 'Inception'?|Christopher Nolan
Movie Trivia|Which movie tells the story of a young lion prince named Simba?|The Lion King
Movie Trivia|Who played the character Neo in 'The Matrix' trilogy?|Keanu Reeves
Movie Trivia|Which movie won the Best Picture Oscar in 2019?|Green Book
Movie Trivia|Who directed the movie 'Jurassic Park'?|Steven Spielberg
Movie Trivia|Which actor played the character James Bond in 'Casino Royale'?|Daniel Craig
Movie Trivia|Which movie is about a clownfish named Nemo searching for his father?|Finding Nemo
Movie Trivia|Who won the Best Director Oscar for the movie 'The Shape of Water'?|Guillermo del Toro
Movie Trivia|Which movie features a group of superheroes including Iron Man, Thor, and Captain America?|The Avengers
Movie Trivia|Who played the character Harry Potter in the 'Harry Potter' film series?|Daniel Radcliffe
Movie Trivia|Which movie won the Best Picture Oscar in 2021?|Nomadland
Movie Trivia|Who directed the movie 'The Dark Knight'?|Christopher Nolan
Movie Trivia|Which movie is about a clown who becomes a popular stand-up comedian in Gotham City?|Joker
